S&P Capital IQ - Standard;Cash & Short Term Investments;Net Property, Plant & Equipment;Total Assets;Net Debt;Total Debt;Total Common Equity;Total Minority Interest;Total Equity;Current Ratio (x);Quick Ratio (x);Total Debt/Equity (%);Total Debt / Total Capital (%);Total Debt / EBITDA (x);Total Revenue;Gross Profit;Earnings from Cont. Ops.;Net Income;EBITDA;EBIT;EBITDA / Interest Expense (x);EBIT / Interest Expense (x);Avg. Days Sales Out.;Avg. Days Inventory Out.;Accounts Receivable Turnover (x);Inventory Turnover (x);Fixed Asset Turnover (x);Total Asset Turnover (x);Cash from Ops.;Cash from Investing;Cash from Financing;Foreign Exchange Rate Adj.;Net Change in Cash;Capital Expenditure;Change in Net Working Capital;Unlevered Free Cash Flow;Levered Free Cash Flow;Cash from Ops. to Curr. Liab. (x);Return on Assets;Return on Capital;Return on Equity;Return on Common Equity;Gross Profit Margin;Net Income Margin;Earnings from Cont Ops Margin;EBITDA Margin;EBIT Margin;Price;Dividends per Share;Basic EPS Excl. Extra Items;Basic EPS;Diluted EPS Excl. Extra Items;Diluted EPS Incl. Extra Items;Weighted Avg. Basic Shares Out. (actual);Weighted Avg. Diluted Shares Out. (actual)
2001 FY;607584;5826585;10089786;463038;1070622;4882940;115830;4998770;0,944;0,227;21,418;17,64;0,828;34797037;4198897;602089;602089;1293564;992267;40,394;30,985;2,611;31,1;139,427;11,704;6,528;3,717;1032563;-1339843;394345;-8985;78080;-1447549;-277564;-248521,125;-251882,125;0,251;6,624;10,912;12,882;13,199;12,067;1,73;1,73;3,717;2,852;30,659821;NA;1,339;1,339;1,286;1,286;449631000;475827000
2002 FY;805518;6523619;11620263;516478;1321996;5694237;119730;5813967;1,041;0,288;22,738;18,526;0,897;38762499;4779378;699983;699983;1473316;1131535;50,636;38,89;3,754;31,414;96,951;11,587;6,277;3,571;1018243;-1033815;217828;677;202933;-1038605;112733;-102347,625;-120532,625;0,229;6,515;10,711;12,947;13,236;12,33;1,806;1,806;3,801;2,919;19,385185;NA;1,543;1,543;1,483;1,483;453650000;479262000
2003 FY;1545439;6960008;13191688;-201318;1344121;6554980;126117;6681097;1,14;0,419;20,118;16,749;0,868;42545552;5310169;721000;721000;1547930;1156628;41,927;31,328;4,41;31,608;82,537;11,516;6,311;3,429;1507208;-790588;-1428;24729;739921;-810665;-277182;592780,5;569705,5;0,301;5,827;9,536;11,541;11,772;12,481;1,695;1,695;3,638;2,719;25,685709;NA;1,58;1,58;1,527;1,527;456335000;479326000
2004 FY;3129882;7219829;15092548;-1808947;1320935;7624810;59266;7684076;1,178;0,562;17,191;14,669;0,72;48109907;6017891;882393;882393;1835879;1395158;50,091;38,066;3,371;30,193;107,959;12,056;6,786;3,402;2096265;-1045963;209569;17825;1277696;-705620;-913608;1557190,75;1552704,875;0,34;6,166;10,24;12,285;12,446;12,509;1,834;1,834;3,816;2,9;33,684937;0,2;1,921;1,921;1,853;1,853;459223000;482459000
2005 FY;3459857;7790192;16665205;-2691601;768256;8881109;58614;8939723;1,219;0,59;8,594;7,914;0,391;52952226;6605265;1063092;1063092;1963914;1482076;57,029;43,037;2,971;30,073;122,529;12,104;7,056;3,335;1772811;-2048363;-518651;33653;-760550;-992281;-220668;704459,5;694791,375;0,262;5,834;9,9;12,79;12,881;12,474;2,008;2,008;3,709;2,799;34,760574;0,43;2,243;2,243;2,176;2,176;473945000;492035000
2006 FY;2834363;8564295;17495070;-2269086;565277;9143439;63358;9206797;1,053;0,435;6,14;5,785;0,263;60151227;7405730;1103215;1103215;2150342;1635057;171,069;130,076;3,375;30,16;109,913;12,301;7,356;3,522;1831224;-1157494;-1233227;7851;-551646;-1216501;-146752;574843,625;571815,375;0,234;5,983;10,492;12,159;12,241;12,312;1,834;1,834;3,575;2,718;37,509659;0,49;2,349;2,349;2,303;2,303;469718000;480341000
2007 FY;3355520;9519780;19606586;-1133805;2221715;8623341;69317;8692658;1,087;0,48;25,559;20,356;0,963;64401000;8036000;1083000;1083000;2307000;1741000;36,047;27,203;3,124;30,484;116,501;11,941;7,122;3,472;2087000;-655000;-175000;12000;1269000;-1386000;-427819;838944;801944;0,243;5,866;10,52;12,101;12,191;12,478;1,682;1,682;3,582;2,703;49,97081;0,55;2,419;2,419;2,369;2,369;447659000;457641000
2008 FY;3275000;10355000;20682000;-929000;2346000;9192000;82000;9274000;1,066;0,453;25,297;20,189;0,886;72483000;8980000;1295000;1283000;2648000;1995000;25,709;19,369;2,8;28,426;129,99;12,805;7,294;3,598;2206000;-1717000;-643000;-7000;-161000;-1599000;-47617;514492;450117;0,249;6,19;11,066;14,416;14,403;12,389;1,77;1,787;3,653;2,752;37,98357;0,61;2,953;2,953;2,89;2,89;434442000;444240000
2009 FY;3727000;10900000;21979000;-1501000;2226000;10024000;80000;10104000;1,114;0,491;22,031;18,054;0,886;71422000;9087000;1099000;1086000;2513000;1785000;23,269;16,528;3,139;30,493;115,945;11,937;6,72;3,348;2092000;-1101000;-439000;-14000;538000;-1250000;-28000;802625;735125;0,225;5,23;9,316;11,343;11,303;12,723;1,521;1,539;3,519;2,499;43,422695;0,68;2,502;2,502;2,468;2,468;433988000;440454000
2010 FY;4749000;11314000;23815000;-2413000;2336000;10829000;101000;10930000;1,163;0,56;21,372;17,609;0,82;77946000;9951000;1323000;1303000;2848000;2053000;25,658;18,495;3,208;29,558;113,459;12,315;7,018;3,404;2780000;-2015000;-719000;11000;57000;-1055000;-503000;1716125;1646750;0,276;5,604;10,026;12,58;12,497;12,767;1,672;1,697;3,654;2,634;53,70467;0,77;2,971;2,971;2,924;2,924;438611000;445970000
